ROWSxCOLUMNS,TIME6,TIME4,TIME2,TIME1
262144x128,0.626627,0.761126,1.143502,2.004018
131072x256,0.505595,0.646910,0.984572,1.766997
65536x512,0.453274,0.602869,0.945478,1.639861
32768x1024,0.452887,0.602135,0.895628,1.624510
16384x2048,0.454033,0.586438,0.869316,1.596153
8192x4096,0.422664,0.594603,0.861041,1.581390
4096x8192,0.420889,0.585291,0.866327,1.574475
2048x16384,0.416620,0.580143,0.827626,1.557653
1024x32768,0.437971,0.586085,0.859339,1.562922
512x65536,0.542111,0.608060,0.888083,1.552825
256x131072,0.589517,0.663421,0.903154,1.562087
